SOP ,Easting (m),Northing (m),Elevation (m)
0,-8.211383,19.461061,-1.434664
1,-18.024022,10.899053,-1.434664
2,-18.024022,-5.743952,0.003005
3,-9.846823,-5.743952,1.720778
4,-9.846823,-11.804699,1.720778
5,5.160742,-11.804699,1.720778
6,5.160742,11.380064,1.720778
